Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Isaiah Thomas\thomais02,27,53,53,1830,9.7,20.7,0.467,3.4,8.8,0.387,6.3,12,0.526,8.4,9.2,0.912,0.6,2.2,2.8,6.6,0.8,0.1,2.8,2.3,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Marcus Smart\smartma01,22,54,22,1678,4.1,10.8,0.375,1.5,4.7,0.311,2.6,6.1,0.425,2.5,3.2,0.773,1.1,3.4,4.5,5.3,2,0.5,2.4,2.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Jae Crowder\crowdja01,26,47,47,1527,5.2,11.1,0.469,2.5,6.2,0.405,2.7,4.9,0.551,2.4,2.8,0.866,0.7,5.1,5.8,2.4,1.2,0.4,1.1,2.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Al Horford\horfoal01,30,45,45,1481,6.3,13.8,0.456,1.7,4.7,0.351,4.6,9.1,0.511,1.7,2.1,0.807,1.5,5.7,7.2,5.4,0.8,1.7,1.9,2.4,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Avery Bradley\bradlav01,26,36,36,1257,7.3,15.4,0.475,2.2,5.3,0.409,5.2,10.1,0.51,1.4,1.8,0.762,1.1,6,7.1,2.5,1.3,0.2,1.9,2.8,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Amir Johnson\johnsam01,29,56,53,1104,4.9,8.5,0.573,0.6,1.4,0.409,4.3,7,0.606,1.5,2.3,0.667,2.9,5.4,8.3,3.1,1,1.2,1.6,4.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Kelly Olynyk\olynyke01,25,50,5,1077,6,11.6,0.517,1.8,4.8,0.379,4.2,6.8,0.616,1.9,2.7,0.707,1.5,6.6,8.1,3.3,1.1,0.7,2.1,4.4,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Terry Rozier\roziete01,22,52,0,941,4.1,11.1,0.37,1.5,4.5,0.331,2.6,6.5,0.398,1.5,2,0.765,1.1,5,6.1,3.4,1.2,0.4,1.1,2,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Jonas Jerebko\jerebjo01,29,56,5,930,3.4,7.7,0.449,1.3,3.8,0.347,2.1,3.9,0.55,0.7,0.8,0.81,1.7,5.7,7.4,1.9,0.9,0.6,1.3,3.7,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Jaylen Brown\brownja02,20,53,13,821,4.8,11.2,0.427,0.9,3,0.304,3.9,8.2,0.473,2.7,3.8,0.721,1.2,4.7,6,1.5,1,0.6,1.6,4,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
