Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jimmy Butler\butleji01,27,51,50,1867,7.3,16.3,.452,1.1,3.4,.337,6.2,12.9,.482,8.2,9.5,.868,1.6,4.6,6.2,4.9,1.8,0.3,2.1,1.7,24.0
2,Robin Lopez\lopezro01,28,57,57,1594,5.8,11.7,.492,0.0,0.0,.000,5.8,11.7,.493,1.1,1.7,.676,4.4,4.5,8.9,1.2,0.2,2.0,1.3,2.4,12.6
3,Taj Gibson\gibsota01,31,55,55,1502,6.6,12.7,.521,0.0,0.3,.167,6.6,12.4,.529,2.0,2.9,.714,2.9,6.3,9.2,1.4,0.7,1.2,1.8,2.9,15.3
4,Dwyane Wade\wadedw01,35,48,47,1458,8.5,19.6,.434,1.0,3.0,.322,7.6,16.6,.454,4.7,5.9,.797,1.3,4.1,5.4,4.6,1.9,0.9,2.6,2.2,22.7
5,Rajon Rondo\rondora01,30,48,29,1260,3.8,10.3,.372,0.7,2.3,.316,3.1,8.0,.388,0.5,0.9,.545,1.2,5.9,7.1,8.9,1.8,0.2,3.3,2.7,8.9
6,Doug McDermott\mcderdo01,25,44,4,1078,5.5,12.5,.445,1.9,5.0,.376,3.7,7.5,.491,2.0,2.2,.881,0.5,3.9,4.3,1.5,0.4,0.1,1.1,1.9,14.9
7,Nikola Mirotic\mirotni01,25,48,2,1078,5.0,13.1,.381,2.3,7.8,.299,2.6,5.2,.503,2.1,2.8,.771,1.2,7.1,8.2,1.4,1.2,1.3,1.8,2.8,14.4
8,Jerian Grant\grantje02,24,46,17,757,4.2,10.5,.405,1.5,4.4,.348,2.7,6.1,.445,2.6,2.8,.915,0.5,2.9,3.4,3.4,1.6,0.3,1.8,3.4,12.6
9,Cristiano Felicio\feliccr01,24,48,0,753,4.3,7.7,.553,0.0,0.0,,4.3,7.7,.553,2.4,3.7,.662,4.7,6.4,11.1,1.4,0.9,0.6,1.1,4.0,10.9
10,Michael Carter-Williams\cartemi01,25,26,18,579,5.0,12.8,.393,0.6,2.7,.209,4.5,10.1,.442,2.8,3.7,.763,1.1,6.5,7.6,4.3,1.3,0.7,2.7,4.2,13.4
11,Isaiah Canaan\canaais01,25,33,0,572,3.8,10.3,.372,1.5,5.5,.273,2.3,4.8,.487,1.8,2.0,.903,0.4,2.6,3.0,2.2,1.3,0.1,1.2,2.2,11.0
12,Bobby Portis\portibo01,21,39,1,472,5.6,11.8,.477,1.0,2.7,.361,4.7,9.1,.513,1.6,2.4,.656,3.2,6.7,9.9,1.5,0.5,0.5,1.7,3.7,13.9
13,Denzel Valentine\valende01,23,32,0,401,3.4,10.7,.319,2.2,7.5,.301,1.2,3.2,.361,0.6,0.9,.700,0.3,4.5,4.8,2.0,1.5,0.3,1.9,2.8,9.7
14,Paul Zipser\zipsepa01,22,23,5,350,3.2,9.4,.341,1.3,4.7,.283,1.9,4.6,.400,2.1,2.6,.800,0.8,4.5,5.3,1.0,0.7,0.5,1.6,2.5,9.8
15,R.J. Hunter\hunterj01,23,3,0,9,0.0,4.0,.000,0.0,4.0,.000,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
