Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James\jamesle01,32,52,52,1952,9.3,17.2,.539,1.7,4.3,.389,7.6,12.9,.589,4.6,6.6,.689,1.1,6.3,7.4,8.4,1.4,0.5,4.1,1.7,24.8
2,Kyrie Irving\irvinky01,24,49,49,1724,9.3,20.1,.462,2.5,6.3,.389,6.8,13.7,.495,4.0,4.4,.906,0.8,2.5,3.2,6.0,1.3,0.3,2.7,2.2,25.0
3,Tristan Thompson\thomptr01,25,55,55,1651,4.0,6.8,.588,0.0,0.1,.000,4.0,6.7,.594,1.8,3.6,.515,4.5,7.2,11.6,1.0,0.7,1.4,0.9,2.9,9.8
4,Kevin Love\loveke01,28,46,46,1466,7.2,16.7,.429,2.9,7.6,.384,4.2,9.1,.466,5.4,6.1,.876,2.8,9.7,12.5,2.2,1.0,0.4,2.4,2.0,22.6
5,Iman Shumpert\shumpim01,26,51,15,1297,3.8,8.9,.425,2.1,5.2,.403,1.7,3.7,.455,1.4,1.8,.773,0.8,3.4,4.2,2.2,1.4,0.4,1.4,2.8,11.0
6,Richard Jefferson\jefferi01,36,54,6,1052,3.2,7.7,.416,1.2,4.1,.289,2.0,3.6,.562,1.8,2.5,.736,0.7,3.6,4.3,1.7,0.5,0.2,1.2,3.4,9.4
7,Channing Frye\fryech01,33,48,5,890,6.2,14.2,.437,3.8,9.2,.408,2.4,4.9,.492,1.7,2.1,.843,1.1,6.1,7.3,1.3,0.7,1.0,1.3,3.6,17.9
8,DeAndre Liggins\liggide01,28,45,19,645,2.6,6.5,.397,0.9,2.5,.386,1.6,4.0,.403,1.2,1.7,.677,0.7,3.5,4.1,2.5,2.2,0.8,1.7,3.6,7.3
9,J.R. Smith\smithjr01,31,21,21,607,3.7,10.9,.337,3.0,8.2,.362,0.7,2.7,.261,0.4,0.5,.778,0.5,2.2,2.7,1.5,1.5,0.5,0.9,2.8,10.7
10,Kyle Korver\korveky01,35,19,0,483,5.6,10.9,.514,3.9,7.5,.515,1.7,3.4,.511,0.5,0.6,.875,0.4,4.0,4.4,1.2,0.7,0.4,1.3,2.4,15.6
11,Jordan McRae\mcraejo01,25,36,4,381,5.4,14.1,.383,1.6,4.7,.340,3.8,9.4,.404,2.6,3.2,.794,0.6,3.2,3.8,1.8,0.8,0.6,1.3,2.8,14.9
12,Mike Dunleavy\dunlemi02,36,23,2,366,3.5,8.9,.400,2.0,5.6,.351,1.6,3.2,.485,1.4,1.9,.737,0.5,4.1,4.6,2.0,0.6,0.2,1.4,3.1,10.4
13,Kay Felder\feldeka01,21,35,0,342,5.7,13.9,.409,0.7,2.1,.350,4.9,11.8,.420,3.4,4.7,.711,0.3,3.4,3.7,4.9,1.4,0.6,2.4,3.7,15.5
14,James Jones\jonesja02,36,35,1,239,4.7,8.9,.525,3.8,6.6,.568,0.9,2.3,.400,1.4,2.1,.643,0.3,3.0,3.3,1.1,0.5,1.1,1.1,3.3,14.5
15,Chris Andersen\anderch01,38,12,0,114,2.8,6.9,.409,0.0,0.9,.000,2.8,6.0,.474,3.2,4.4,.714,2.8,6.9,9.8,1.6,1.6,2.2,1.6,6.3,8.8
16,Derrick Williams\willide02,25,4,0,91,4.7,7.9,.600,1.2,3.2,.375,3.6,4.7,.750,4.7,6.7,.706,0.0,4.7,4.7,1.2,0.4,0.0,0.8,2.4,15.4
