Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Millsap\millspa01,31,53,53,1810,6.6,15.1,.439,1.3,3.9,.327,5.3,11.2,.478,4.4,5.8,.763,1.8,6.5,8.3,4.0,1.6,1.0,2.3,2.8,18.9
2,Dennis Schroder\schrode01,23,56,56,1728,7.8,17.1,.458,1.4,4.2,.345,6.4,12.9,.494,3.3,4.0,.832,0.6,2.8,3.4,7.3,0.9,0.2,3.6,2.0,20.4
3,Dwight Howard\howardw01,31,51,51,1504,6.5,10.0,.644,0.0,0.0,.000,6.5,10.0,.647,3.6,6.5,.553,5.2,10.6,15.8,1.5,1.1,1.5,2.5,3.5,16.5
4,Kent Bazemore\bazemke01,27,54,51,1482,5.2,13.2,.398,1.6,4.8,.332,3.7,8.4,.435,2.1,3.0,.715,0.8,3.4,4.2,3.4,1.7,0.9,2.3,2.9,14.2
5,Tim Hardaway\hardati02,24,54,15,1354,6.9,15.5,.446,2.6,7.3,.349,4.4,8.2,.532,2.4,3.3,.720,0.5,3.1,3.6,3.1,0.9,0.3,1.6,1.7,18.8
6,Thabo Sefolosha\sefolth01,32,44,29,1137,4.2,9.2,.457,0.8,2.5,.329,3.4,6.6,.505,1.4,1.8,.772,1.1,4.9,6.0,2.2,2.3,0.7,1.3,2.1,10.6
7,Malcolm Delaney\delanma01,27,56,0,991,4.5,11.6,.390,0.8,3.2,.258,3.7,8.3,.441,2.2,2.7,.811,0.3,3.3,3.6,5.5,1.1,0.0,2.8,3.2,12.0
8,Mike Muscala\muscami01,25,50,3,984,5.1,10.0,.513,1.3,3.1,.424,3.8,6.9,.553,1.5,2.0,.778,2.2,4.5,6.7,2.5,0.9,1.2,1.6,2.9,13.1
9,Kyle Korver\korveky01,35,32,21,894,4.3,9.9,.441,2.6,6.4,.409,1.7,3.5,.500,1.0,1.1,.889,0.0,3.6,3.6,3.0,0.9,0.5,1.6,1.9,12.3
10,Kris Humphries\humphkr01,31,44,1,522,4.9,11.0,.444,1.0,2.8,.366,3.9,8.2,.471,3.4,4.3,.790,3.1,7.2,10.3,1.5,0.8,1.1,1.7,3.9,14.2
11,Taurean Waller-Prince\princta02,22,33,0,353,3.9,10.5,.369,1.1,4.1,.275,2.8,6.4,.429,3.0,3.3,.906,0.7,5.9,6.6,2.1,1.3,0.9,2.3,4.0,11.8
12,Mike Dunleavy\dunlemi02,36,18,0,292,4.6,10.1,.451,2.7,6.3,.431,1.8,3.8,.484,1.1,1.4,.818,0.9,4.6,5.4,2.1,0.6,0.2,1.4,2.7,12.9
13,DeAndre' Bembry\bembrde01,22,26,0,269,4.7,9.9,.473,0.0,1.5,.000,4.7,8.4,.556,0.8,1.9,.429,1.1,4.4,5.5,2.7,0.7,0.4,1.3,2.0,10.2
14,Mike Scott\scottmi01,28,18,0,195,3.1,10.7,.293,0.7,5.0,.148,2.4,5.7,.419,1.3,1.5,.875,1.8,5.0,6.8,3.1,0.7,0.6,1.5,2.2,8.3
15,Ryan Kelly\kellyry01,25,9,0,47,2.3,7.7,.300,1.5,3.8,.400,0.8,3.8,.200,1.5,1.5,1.000,0.0,7.7,7.7,3.8,3.1,1.5,1.5,2.3,7.7
16,Lamar Patterson\pattela01,25,4,0,30,3.6,14.4,.250,1.2,6.0,.200,2.4,8.4,.286,2.4,3.6,.667,1.2,6.0,7.2,3.6,1.2,0.0,4.8,7.2,10.8
17,Gary Neal\nealga01,32,2,0,18,0.0,14.0,.000,0.0,4.0,.000,0.0,10.0,.000,8.0,8.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0
18,Walter Tavares\tavarwa01,24,1,0,4,9.0,9.0,1.000,0.0,0.0,,9.0,9.0,1.000,0.0,18.0,.000,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0
