Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Teague\teaguje01,28,57,57,1856,5.5,12.2,.450,1.1,3.1,.352,4.4,9.2,.483,4.9,5.8,.852,0.5,4.1,4.6,9.0,1.6,0.5,3.1,2.3,17.0
2,Paul George\georgpa01,26,50,50,1786,7.8,17.6,.446,2.3,6.0,.383,5.5,11.5,.479,4.5,4.9,.914,0.9,5.4,6.2,3.3,1.6,0.3,2.9,2.6,22.5
3,Myles Turner\turnemy01,20,56,56,1732,6.7,13.0,.518,0.7,2.0,.362,6.0,11.1,.545,4.0,5.0,.797,1.8,6.5,8.4,1.3,1.0,2.5,1.7,3.8,18.2
4,Thaddeus Young\youngth01,28,49,49,1524,5.7,11.0,.522,1.0,2.6,.396,4.7,8.3,.561,0.9,1.5,.571,1.7,5.3,7.1,1.9,2.1,0.6,1.7,2.2,13.3
5,Monta Ellis\ellismo01,31,49,23,1331,4.1,9.3,.442,0.6,2.1,.304,3.5,7.2,.483,2.0,2.5,.787,0.2,3.5,3.7,4.5,1.2,0.5,2.4,2.7,10.9
6,Glenn Robinson\robingl02,23,55,27,1204,3.9,8.4,.459,1.1,3.0,.384,2.7,5.4,.500,1.3,1.8,.721,1.5,4.5,6.0,1.2,0.9,0.5,1.0,1.6,10.2
7,C.J. Miles\milescj01,29,51,14,1177,5.8,13.2,.434,3.4,8.1,.417,2.4,5.1,.461,1.7,2.0,.875,0.5,4.1,4.6,0.9,1.0,0.6,0.9,3.2,16.6
8,Al Jefferson\jeffeal01,32,57,1,832,9.2,18.2,.506,0.0,0.0,.000,9.2,18.2,.507,2.6,3.4,.772,2.9,7.6,10.5,2.3,0.7,0.6,1.2,4.8,21.1
9,Aaron Brooks\brookaa01,32,46,0,660,5.0,12.3,.407,1.9,5.5,.337,3.2,6.8,.464,1.3,1.6,.793,0.8,2.1,2.8,5.5,1.2,0.4,2.7,3.5,13.1
10,Lavoy Allen\allenla01,27,42,5,588,2.9,6.6,.439,0.0,0.1,.000,2.9,6.5,.443,0.8,1.2,.650,3.1,4.2,7.3,2.4,0.8,0.8,1.1,3.2,6.6
11,Rodney Stuckey\stuckro01,30,25,0,465,5.6,12.8,.436,0.9,2.9,.324,4.6,9.9,.469,4.7,6.2,.763,0.3,3.9,4.3,3.8,0.8,0.0,2.6,2.7,16.8
12,Kevin Seraphin\serapke01,27,34,3,416,6.5,11.8,.551,0.0,0.1,.000,6.5,11.7,.556,0.4,0.9,.500,2.7,6.7,9.3,1.6,0.3,1.3,1.6,4.0,13.4
13,Joe Young\youngjo01,24,25,0,121,7.1,19.6,.364,1.5,6.8,.217,5.7,12.8,.442,2.7,3.9,.692,0.3,3.9,4.2,4.2,1.2,0.0,1.2,1.5,18.4
14,Georges Niang\niangge01,23,22,0,90,3.6,14.4,.250,0.4,4.8,.083,3.2,9.6,.333,0.8,0.8,1.000,0.8,5.6,6.4,2.0,1.2,0.0,2.0,2.4,8.4
15,Rakeem Christmas\chrisra01,25,7,0,23,3.1,11.0,.286,0.0,0.0,,3.1,11.0,.286,6.3,7.8,.800,6.3,7.8,14.1,1.6,1.6,3.1,0.0,3.1,12.5
