Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Marcus Morris\morrima03,27,56,56,1849,5.9,13.9,.425,1.7,5.1,.333,4.2,8.8,.478,1.9,2.4,.800,1.0,4.1,5.1,2.3,0.8,0.3,1.2,2.2,15.4
2,Tobias Harris\harrito02,24,57,38,1803,7.2,14.9,.487,1.5,4.3,.338,5.8,10.5,.547,2.6,2.9,.891,0.6,5.2,5.8,1.8,0.8,0.5,1.5,1.8,18.5
3,Kentavious Caldwell-Pope\caldwke01,23,52,52,1759,5.4,13.1,.409,2.2,5.9,.372,3.2,7.2,.440,2.1,2.6,.833,0.8,2.7,3.6,3.0,1.4,0.2,1.3,1.8,15.1
4,Andre Drummond\drumman01,23,56,56,1705,7.5,14.2,.527,0.0,0.1,.333,7.5,14.1,.529,2.3,5.2,.439,4.8,11.5,16.3,1.2,2.0,1.4,2.5,3.5,17.3
5,Jon Leuer\leuerjo01,27,51,20,1379,5.9,11.6,.512,1.0,3.2,.325,4.9,8.4,.584,2.0,2.2,.906,1.8,5.8,7.6,2.3,0.6,0.5,1.2,2.8,14.9
6,Ish Smith\smithis01,28,56,21,1317,5.6,12.5,.445,0.5,1.8,.254,5.1,10.7,.478,1.3,1.8,.687,0.4,3.7,4.1,7.4,1.1,0.6,2.2,2.4,12.9
7,Reggie Jackson\jacksre01,26,36,36,1023,7.2,16.8,.428,1.7,4.8,.363,5.5,12.0,.453,3.2,3.8,.850,0.5,2.3,2.8,7.0,1.0,0.1,3.0,3.4,19.3
8,Stanley Johnson\johnsst04,20,53,0,887,3.4,8.8,.390,1.1,3.5,.302,2.4,5.4,.447,1.1,1.6,.650,1.0,3.9,4.9,2.8,1.4,0.8,1.9,3.4,9.0
9,Aron Baynes\baynear01,30,54,2,835,4.0,8.2,.482,0.0,0.0,,4.0,8.2,.482,2.6,3.0,.871,2.9,6.5,9.4,0.8,0.6,1.0,1.6,5.2,10.6
10,Beno Udrih\udrihbe01,34,30,0,420,5.8,12.9,.453,0.9,2.4,.357,5.0,10.5,.475,2.1,2.2,.923,0.4,2.8,3.3,7.8,0.6,0.0,2.1,1.7,14.6
11,Darrun Hilliard\hillida01,23,27,1,290,3.8,11.9,.323,1.1,4.5,.250,2.7,7.4,.367,2.1,3.0,.708,0.2,3.1,3.4,2.9,0.9,0.1,2.5,3.8,10.9
12,Reggie Bullock\bullore01,25,14,3,217,4.6,10.8,.431,1.7,5.3,.313,3.0,5.5,.545,0.3,0.7,.500,1.0,3.6,4.6,2.0,1.0,0.5,1.0,2.5,11.3
13,Boban Marjanovic\marjabo01,28,23,0,159,7.2,15.4,.471,0.0,0.0,,7.2,15.4,.471,4.8,6.1,.778,6.8,10.2,17.0,1.1,0.5,1.8,1.6,2.5,19.2
14,Henry Ellenson\ellenhe01,20,14,0,56,5.1,14.8,.348,2.6,9.0,.286,2.6,5.8,.444,0.6,0.6,1.000,1.3,6.4,7.7,2.6,0.0,0.0,3.2,1.9,13.5
15,Michael Gbinije\gbinimi01,24,9,0,32,1.1,11.3,.100,0.0,4.5,.000,1.1,6.8,.167,2.3,2.3,1.000,2.3,1.1,3.4,2.3,0.0,0.0,0.0,2.3,4.5
