Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Lowry\lowryky01,30,56,56,2111,6.9,14.8,.463,3.2,7.6,.417,3.7,7.3,.512,4.8,5.9,.826,0.8,3.8,4.6,6.6,1.4,0.3,2.7,2.8,21.7
2,DeMar DeRozan\derozde01,27,50,50,1775,10.0,21.5,.464,0.4,1.5,.253,9.6,20.0,.480,7.4,8.7,.845,1.0,4.4,5.4,3.8,1.1,0.2,2.4,1.9,27.7
3,Jonas Valanciunas\valanjo01,24,55,55,1481,6.7,12.4,.538,0.0,0.0,,6.7,12.4,.538,3.2,3.8,.852,3.9,9.3,13.2,1.0,0.6,1.0,1.9,3.7,16.5
4,DeMarre Carroll\carrode01,30,52,52,1418,4.5,10.8,.413,2.2,6.2,.352,2.3,4.6,.495,1.7,2.2,.770,1.2,4.1,5.3,1.3,1.6,0.5,1.0,2.6,12.8
5,Cory Joseph\josepco01,25,55,1,1243,5.4,12.1,.443,0.8,2.1,.394,4.5,10.0,.452,2.1,2.6,.791,0.9,3.3,4.2,4.4,1.2,0.1,1.7,2.7,13.6
6,Terrence Ross\rosste01,25,54,0,1207,6.3,14.3,.441,2.9,7.6,.375,3.4,6.7,.516,1.2,1.5,.820,0.4,3.7,4.1,1.3,1.6,0.6,1.0,2.4,16.7
7,Patrick Patterson\pattepa01,27,40,7,1090,3.3,8.5,.385,2.0,5.6,.363,1.2,2.8,.430,0.9,1.4,.659,1.6,5.6,7.1,1.9,1.0,0.5,0.9,2.8,9.5
8,Lucas Nogueira\noguelu01,24,48,6,1037,3.6,5.2,.682,0.1,0.3,.333,3.5,4.9,.704,1.5,2.3,.657,2.8,5.2,8.0,1.4,1.7,3.0,1.5,4.6,8.8
9,Norman Powell\powelno01,23,53,15,919,5.6,12.4,.454,1.4,4.1,.343,4.2,8.3,.509,2.7,3.4,.773,0.7,3.4,4.1,2.2,1.5,0.4,1.7,3.3,15.4
10,Pascal Siakam\siakapa01,22,48,38,806,4.2,8.4,.503,0.0,0.2,.000,4.2,8.2,.514,1.0,1.4,.688,2.6,4.8,7.4,0.7,1.0,1.9,1.4,4.6,9.4
11,Jakob Poeltl\poeltja01,21,32,4,345,3.0,6.1,.500,0.0,0.0,,3.0,6.1,.500,1.7,2.9,.571,4.3,5.0,9.3,0.9,1.1,0.9,1.5,6.7,7.7
12,Fred VanVleet\vanvlfr01,22,21,0,145,5.5,15.1,.361,1.7,4.5,.389,3.7,10.7,.349,2.2,2.7,.818,0.7,4.0,4.7,4.5,2.5,0.2,1.0,4.5,14.9
13,Jared Sullinger\sullija01,24,11,1,118,4.6,14.6,.313,0.9,5.5,.167,3.7,9.2,.400,1.2,2.4,.500,3.1,5.2,8.2,0.9,1.2,0.3,1.2,5.2,11.3
14,Delon Wright\wrighde01,24,2,0,37,3.9,6.8,.571,0.0,1.9,.000,3.9,4.9,.800,4.9,5.8,.833,1.0,1.0,1.9,2.9,1.9,1.0,0.0,1.9,12.6
15,Bruno Caboclo\cabocbr01,21,8,0,23,1.6,7.8,.200,1.6,4.7,.333,0.0,3.1,.000,0.0,0.0,,4.7,4.7,9.4,4.7,3.1,0.0,3.1,4.7,4.7
