group,groupname,abb,team,value
1,Points,BOS-1,Mavericks,120
1,Points,CLE,Suns,126
1,Points,BOS-2,Raptors,106
1,Points,WAS,Lakers,116.3
1,Points,BOS-3,TrailBlazers,103
1,Points,ATL,Magic,101
1,Points,BOS-4,Knicks,103
1,Points,TOR,Clippers,106.3
1,Points,BOS-5,Spurs,107
1,Points,IND,Kings,100.5
1,Points,BOS-6,Cavaliers,103
1,Points,CHI,Nuggets,103
1,Points,BOS-7,Bulls,107
1,Points,DET,Bucks,107.3
2,Assists,BOS-1,Mavericks,25.5
2,Assists,CLE,Suns,26.5
2,Assists,BOS-2,Raptors,26
2,Assists,WAS,Lakers,21.7
2,Assists,BOS-3,TrailBlazers,22
2,Assists,ATL,Magic,22
2,Assists,BOS-4,Knicks,23
2,Assists,TOR,Clippers,15.3
2,Assists,BOS-5,Spurs,20.5
2,Assists,IND,Kings,18.5
2,Assists,BOS-6,Cavaliers,22.3
2,Assists,CHI,Nuggets,25.3
2,Assists,BOS-7,Bulls,23.7
2,Assists,DET,Bucks,22.7
3,Rebounds,BOS-1,Mavericks,40.5
3,Rebounds,CLE,Suns,56
3,Rebounds,BOS-2,Raptors,45
3,Rebounds,WAS,Lakers,55.3
3,Rebounds,BOS-3,TrailBlazers,52
3,Rebounds,ATL,Magic,50
3,Rebounds,BOS-4,Knicks,48
3,Rebounds,TOR,Clippers,56.3
3,Rebounds,BOS-5,Spurs,52.5
3,Rebounds,IND,Kings,52.5
3,Rebounds,BOS-6,Cavaliers,48
3,Rebounds,CHI,Nuggets,57
3,Rebounds,BOS-7,Bulls,45.7
3,Rebounds,DET,Bucks,59
4,Turnovers,BOS-1,Mavericks,9.5
4,Turnovers,CLE,Suns,13
4,Turnovers,BOS-2,Raptors,13
4,Turnovers,WAS,Lakers,12
4,Turnovers,BOS-3,TrailBlazers,12
4,Turnovers,ATL,Magic,12
4,Turnovers,BOS-4,Knicks,13
4,Turnovers,TOR,Clippers,15
4,Turnovers,BOS-5,Spurs,12
4,Turnovers,IND,Kings,12
4,Turnovers,BOS-6,Cavaliers,12.7
4,Turnovers,CHI,Nuggets,10.7
4,Turnovers,BOS-7,Bulls,8
4,Turnovers,DET,Bucks,8.3
5,Steals,BOS-1,Mavericks,9.5
5,Steals,CLE,Suns,6.5
5,Steals,BOS-2,Raptors,6.7
5,Steals,WAS,Lakers,9
5,Steals,BOS-3,TrailBlazers,7
5,Steals,ATL,Magic,5
5,Steals,BOS-4,Knicks,6
5,Steals,TOR,Clippers,8
5,Steals,BOS-5,Spurs,8.5
5,Steals,IND,Kings,9.5
5,Steals,BOS-6,Cavaliers,5
5,Steals,CHI,Nuggets,5.7
5,Steals,BOS-7,Bulls,5
5,Steals,DET,Bucks,5
6,Blocks,BOS-1,Mavericks,5.5
6,Blocks,CLE,Suns,5
6,Blocks,BOS-2,Raptors,4.7
6,Blocks,WAS,Lakers,4.7
6,Blocks,BOS-3,TrailBlazers,2
6,Blocks,ATL,Magic,5
6,Blocks,BOS-4,Knicks,3
6,Blocks,TOR,Clippers,4.6
6,Blocks,BOS-5,Spurs,4.5
6,Blocks,IND,Kings,5.5
6,Blocks,BOS-6,Cavaliers,5.7
6,Blocks,CHI,Nuggets,3.7
6,Blocks,BOS-7,Bulls,5
6,Blocks,DET,Bucks,6.3
