group,groupname,abb,team,value
1,Points,BOS1,Mavericks,120
1,Points,CLE,Suns,126
1,Points,BOS2,Raptors,106
1,Points,WAS,Lakers,116.3
1,Points,BOS3,TrailBlazers,103
1,Points,ATL,Magic,101
1,Points,BOS4,Knicks,103
1,Points,TOR,Clippers,106.3
1,Points,BOS5,Spurs,107
1,Points,IND,Kings,100.5
1,Points,BOS6,Cavaliers,103
1,Points,CHI,Nuggets,103
1,Points,BOS7,Bulls,107
1,Points,DET,Bucks,107.3
2,Assists,BOS1,Mavericks,25.5
2,Assists,CLE,Suns,26.5
2,Assists,BOS2,Raptors,26
2,Assists,WAS,Lakers,21.7
2,Assists,BOS3,TrailBlazers,22
2,Assists,ATL,Magic,22
2,Assists,BOS4,Knicks,23
2,Assists,TOR,Clippers,-15.3
2,Assists,BOS5,Spurs,20.5
2,Assists,IND,Kings,18.5
2,Assists,BOS6,Cavaliers,22.3
2,Assists,CHI,Nuggets,25.3
2,Assists,BOS7,Bulls,23.7
2,Assists,DET,Bucks,22.7
3,Rebounds,BOS1,Mavericks,40.5
3,Rebounds,CLE,Suns,56
3,Rebounds,BOS2,Raptors,45
3,Rebounds,WAS,Lakers,55.3
3,Rebounds,BOS3,TrailBlazers,52
3,Rebounds,ATL,Magic,50
3,Rebounds,BOS4,Knicks,48
3,Rebounds,TOR,Clippers,56.3
3,Rebounds,BOS5,Spurs,52.5
3,Rebounds,IND,Kings,52.5
3,Rebounds,BOS6,Cavaliers,48
3,Rebounds,CHI,Nuggets,57
3,Rebounds,BOS7,Bulls,45.7
3,Rebounds,DET,Bucks,59
4,Turnovers,BOS1,Mavericks,9.5
4,Turnovers,CLE,Suns,13
4,Turnovers,BOS2,Raptors,13
4,Turnovers,WAS,Lakers,12
4,Turnovers,BOS3,TrailBlazers,-12
4,Turnovers,ATL,Magic,12
4,Turnovers,BOS4,Knicks,13
4,Turnovers,TOR,Clippers,15
4,Turnovers,BOS5,Spurs,-12
4,Turnovers,IND,Kings,12
4,Turnovers,BOS6,Cavaliers,12.7
4,Turnovers,CHI,Nuggets,10.7
4,Turnovers,BOS7,Bulls,8
4,Turnovers,DET,Bucks,8.3
5,Steals,BOS1,Mavericks,9.5
5,Steals,CLE,Suns,6.5
5,Steals,BOS2,Raptors,6.7
5,Steals,WAS,Lakers,9
5,Steals,BOS3,TrailBlazers,7
5,Steals,ATL,Magic,5
5,Steals,BOS4,Knicks,6
5,Steals,TOR,Clippers,8
5,Steals,BOS5,Spurs,8.5
5,Steals,IND,Kings,9.5
5,Steals,BOS6,Cavaliers,5
5,Steals,CHI,Nuggets,5.7
5,Steals,BOS7,Bulls,5
5,Steals,DET,Bucks,5
6,Blocks,BOS1,Mavericks,5.5
6,Blocks,CLE,Suns,5
6,Blocks,BOS2,Raptors,4.7
6,Blocks,WAS,Lakers,4.7
6,Blocks,BOS3,TrailBlazers,2
6,Blocks,ATL,Magic,5
6,Blocks,BOS4,Knicks,3
6,Blocks,TOR,Clippers,4.6
6,Blocks,BOS5,Spurs,4.5
6,Blocks,IND,Kings,5.5
6,Blocks,BOS6,Cavaliers,5.7
6,Blocks,CHI,Nuggets,3.7
6,Blocks,BOS7,Bulls,5
6,Blocks,DET,Bucks,6.3
